IMG	IMG_X	IMG_Y	X_WGS84	Y_WGS84	Z_HAE	NAME
CG06_20060727_195951	2367.5	519	481497.8021	6787589.501	2432.093392	P7930
CG06_20060727_195951	935.17	730.83	493407.41	6776274.48	329.896759	nipple
CG06_20060727_195951	1154.83	758.5	493480.07	6776578.48	285.10849	splitrock
CG06_20060727_195951	1169.17	773.67	493526.91	6776593.64	263.8166809	cluster
CG06_20060727_195951	33.75	976	494774.86	6775404.16	37.84799957	transients (snow, glacier)
CG06_20060727_195951	601	785	493448.86	6775793.16	260.0169983	transients (snow, glacier)
CG06_20060727_195951	164.5	672.5	493152.36	6775141.16	441.144989	transients (snow, glacier)
CG06_20060727_195951	554.75	628.75	493091.86	6775705.16	513.0930176	transients (snow, glacier)
CG06_20060727_195951	553.25	494.5	492835.86	6775686.66	754.1920166	transients (snow, glacier)
CG06_20060727_195951	710.75	471.5	492823.36	6775942.16	795.7529907	transients (snow, glacier)
CG06_20060727_195951	754.5	619	493170.86	6776015.66	512.7260132	transients (snow, glacier)
AK01_20070817_200132	172	620	528944.9755	6803596.145	2529.325774	P8249
AK01_20070817_200132	330	595	527374.9441	6800629.286	2608.879542	P8510
AK01_20070817_200132	541	637	527221.2716	6798373.463	2130.337723	P6940
AK01_20070817_200132	1071	621	523517.2864	6790992.455	1944.407462	P6330
AK01_20070817_200132	1381	615	517999.23	6786172.233	1648.747866	P5360
AK01_20070817_200132	1763	589	514230.9923	6782628.371	1566.450866	P5090
AK01_20070817_200132	1947	580	514353.4451	6781616.346	1590.835162	P5170
AK01_20070817_200132	2785	845	500964.34	6776922.79	381.6129944	nosebridge
AK01_20070817_200132	3716	1309	496695.68	6776058.12	52.31260071	shorenode
AK01_20070922_200210	172	616.25	528944.9755	6803596.145	2529.325774	P8249
AK01_20070922_200210	328.5	591.25	527374.9441	6800629.286	2608.879542	P8510
AK01_20070922_200210	528	635.5	527221.2716	6798373.463	2130.337723	P6940
AK01_20070922_200210	1073.25	618	523517.2864	6790992.455	1944.407462	P6330
AK01_20070922_200210	1380.25	612.75	517999.23	6786172.233	1648.747866	P5360
AK01_20070922_200210	1764.25	586.5	514230.9923	6782628.371	1566.450866	P5090
AK01_20070922_200210	1947.25	577.75	514353.4451	6781616.346	1590.835162	P5170
AK01_20070922_200210	2783.5	843.25	500964.34	6776922.79	381.6129944	nosebridge
AK01_20070922_200210	3716.25	1309.25	496695.68	6776058.12	52.31260071	shorenode
AK01_20070922_200210	3582.75	1356.75	496684.34	6776154.79	17.89	transients (snow, glacier)
AK01_20070922_200210	2755	1445	496078.34	6776836.79	17.89	transients (snow, glacier)
AK01_20070922_200210	1379.5	1900.25	494770.34	6777359.79	17.89	transients (snow, glacier)
AK01_20070922_200210	2314.75	1335.25	496392.34	6777181.29	47.02199936	transients (snow, glacier)
